Air District,Title,Number,Report Status,Applicant Name,EJ Project,Identifier,Type,Source Category,Technology,Funded Engines,Project Life,Paid In Full,NOx (tons/yr),ROG (tons/yr),PM (tons/yr),Total NOx (tons),Total ROG (tons),Total PM (tons),Contract Execution,Post Inspection,Grant Amount,Funding Source,Funding/Payment/Withhold Year,Sumif=Funding/Payment/Withhold Amount,Payment/Withhold Date,Equipment ID,First Main Engine Fuel,VIN,Make,Model,Latitude/Longitude,HVIP co-funding
El Dorado County AQMD,BOMUSD BUS # 6,BOMUSD-BUS-6,Executed,Black Oak Mine Unified School District,N,BUS#6,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2432,0.0192,0.008,2.432,0.192,0.08,10/4/21,,399782.7,Moyer,MY 21 (FY 2018-2019),399782.7,,770815,ELEC,,IC Bus,CE3402,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0055 - Bus 22 - 1BAANB7A3XF084929,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.272,0.0354,0.0023,2.72,0.354,0.023,7/23/21,,300000,Moyer,MY 22 (FY 2019-2020),300000,,784779,ELEC,,Thomas,Saf-T-Liner C2,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0064 - Bus 5 - 1BAANB7A3XF084915,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2509,0.0327,0.0021,2.509,0.327,0.021,7/23/21,,300000,Moyer,MY 22 (FY 2019-2020),300000,,784781,ELEC,,Thomas,Saf-T-Liner C2,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0067 - Bus 14 - 1HVBJADR9YA022101,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2385,0.031,0.002,2.385,0.31,0.02,7/23/21,,364907.18,Moyer,MY 22 (FY 2019-2020),364907,,784783,ELEC,,Thomas,Saf-T-Liner C2,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0075 - Bus 77 - 1HVBJADN1VA080180,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2673,0.0351,0.0023,2.673,0.351,0.023,7/23/21,,300000,Moyer,MY 22 (FY 2019-2020),300000,,784787,ELEC,,Thomas,Saf-T-Liner C2,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0076 - Bus 18 - 1BAANB7A6XF084925,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.3387,0.0441,0.0028,3.387,0.441,0.028,7/23/21,,250000,Moyer,MY 22 (FY 2019-2020),250000,,784791,ELEC,,Thomas,Saf-T-Liner C2,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0077 - Bus 9 - 1BAANB7A0XF084919,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2581,0.0336,0.0021,2.581,0.336,0.021,7/23/21,,364907.18,Moyer,MY 22 (FY 2019-2020),364907,,784796,ELEC,,Thomas,Saf-T-Liner C2,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0080 - Bus 16 - 1BAANB7A4XF084924,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2667,0.0347,0.0022,2.667,0.347,0.022,7/23/21,,364907.18,Moyer,MY 22 (FY 2019-2020),364907,,784798,ELEC,,Thomas,Saf-T-Liner C2,,
San Diego County APCD,Grossmont Union HSD Y22 NO DAC,OVEH55 59 64 67 69 75-78 80-1,Executed,Grossmont Union High School District,Y,APCD2020-OVEH-0081 - Bus 79 - 1HVBJADN6WA080192,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2598,0.0341,0.0023,2.598,0.341,0.023,7/23/21,,250000,Moyer,MY 22 (FY 2019-2020),250000,,784800,ELEC,,Thomas,,,
Lake County AQMD,MUSD MicroBus 16,2021-02,Executed,Middletown Unified School District,N,MUSD Bus 16,SB,On-Road Heavy-Duty Vehicles,Replacement,1,3,N,0.1557,0.0144,0.0064,0.4671,0.0432,0.0192,6/29/22,,304624.76,Moyer,MY 21 (FY 2018-2019),304624.76,,790903,BELEC,,,,,
El Dorado County AQMD,RUSD BUS#18,RUSD-BUS-18,Executed,Rescue Union School District,N,BUS#18,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1215,0.0126,0.0059,1.215,0.126,0.059,1/14/22,,379175.28,Moyer,MY 22 (FY 2019-2020),379175.28,,791168,ELEC,,Lion,LionA,,
Sacramento Metropolitan AQMD,VET-18-0087,VET-18-0087,Executed,Folsom Cordova Unified School District,Y,SMAQ007554,SB,On-Road Heavy-Duty Vehicles,Replacement,1,5,N,0.1265,0.0072,0.0007,0.6325,0.036,0.0035,1/21/20,,197700,Moyer,MY 21 (FY 2018-2019),197700,,744629,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-18-0087,VET-18-0087,Executed,Folsom Cordova Unified School District,Y,SMQV007555,SB,On-Road Heavy-Duty Vehicles,Replacement,1,5,N,0.0902,0.005,0.0005,0.451,0.025,0.0025,1/21/20,,140000,Moyer,MY 21 (FY 2018-2019),140000,,744631,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-18-0087,VET-18-0087,Executed,Folsom Cordova Unified School District,Y,SMQV007562,SB,On-Road Heavy-Duty Vehicles,Replacement,1,5,N,0.1276,0.0073,0.0007,0.638,0.0365,0.0035,1/21/20,,199700,Moyer,MY 21 (FY 2018-2019),199700,,744633,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-19-0074,VET-19-0074,Executed,City of Folsom,N,SMQV007790,SW,On-Road Heavy-Duty Vehicles,Replacement,1,7,N,0.2008,0.0001,0.0001,1.4056,0.0007,0.0007,11/5/20,,46628,Moyer,MY 22 (FY 2019-2020),46628,,714135,ELEC,,,,,
Sacramento Metropolitan AQMD,VET-19-0074,VET-19-0074,Executed,City of Folsom,N,SMQV007791,SW,On-Road Heavy-Duty Vehicles,Replacement,1,7,N,0.24,0.0001,0.0001,1.68,0.0007,0.0007,11/5/20,,55733,Moyer,MY 22 (FY 2019-2020),55733,,714137,ELEC,,,,,
Sacramento Metropolitan AQMD,VET-20-0038,VET-20-0038,Executed,Paradise Unified School District,N,SMQV008026,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.3489,0.0328,0.0126,3.489,0.328,0.126,4/30/20,,125374,Moyer,MY 21 (FY 2018-2019),125374,,755869,ELEC,,,,,
Sacramento Metropolitan AQMD,VET-20-0054,VET-20-0054,Executed,Twin Rivers Unified School District,Y,SMQV007903,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0964,0.0078,0.0005,0.964,0.078,0.005,11/16/20,,180000,Moyer,MY 22 (FY 2019-2020),180000,,744657,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-20-0054,VET-20-0054,Executed,Twin Rivers Unified School District,Y,SMQV007937,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.117,0.0105,0.0007,1.17,0.105,0.007,11/16/20,,180000,Moyer,MY 22 (FY 2019-2020),180000,,744659,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-20-0054,VET-20-0054,Executed,Twin Rivers Unified School District,Y,SMQV007941,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0731,0.0083,0.0006,0.731,0.083,0.006,11/16/20,,180000,Moyer,MY 22 (FY 2019-2020),180000,,744663,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-20-0054,VET-20-0054,Executed,Twin Rivers Unified School District,Y,SMQV007942,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0512,0.0049,0.0004,0.512,0.049,0.004,11/16/20,,165000,Moyer,MY 22 (FY 2019-2020),165000,,744665,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-20-0054,VET-20-0054,Executed,Twin Rivers Unified School District,Y,SMQV007944,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0706,0.0077,0.0005,0.706,0.077,0.005,11/16/20,,180000,Moyer,MY 22 (FY 2019-2020),180000,,744667,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-20-0054,VET-20-0054,Executed,Twin Rivers Unified School District,Y,SMQV007945,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0467,0.0043,0.0003,0.467,0.043,0.003,11/16/20,,149800,Moyer,MY 22 (FY 2019-2020),149800,,744669,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-20-0054,VET-20-0054,Executed,Twin Rivers Unified School District,Y,SMQV007947,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0688,0.0075,0.0005,0.688,0.075,0.005,11/16/20,,180000,Moyer,MY 22 (FY 2019-2020),180000,,744671,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Sacramento Metropolitan AQMD,VET-21-0003,VET-21-0003,Executed,River Delta Unified School District,N,SMQV007912,SB,On-Road Heavy-Duty Vehicles,Replacement,1,5,N,0.1231,0.0109,0.0007,0.6155,0.0545,0.0035,4/16/21,,180000,Moyer,MY 21 (FY 2018-2019),180000,,729344,ELEC,,,,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Bay Area AQMD,20SBP140-School-Bus-replacement,20SBP140,Liquidated,Sunnyvale School District,N,BAA-20SBP140-B-01,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,Y,0.0233,0.0009,0.0006,0.233,0.009,0.006,7/9/19,44077,57394,Moyer,MY 20 (FY 2017-2018),57394,44364,745068,ELEC,1BABNBUA9KF367837,Blue Bird,T3RE 3904,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Bay Area AQMD,20SBP140-School-Bus-replacement,20SBP140,Liquidated,Sunnyvale School District,N,BAA-20SBP140-B-05,SB,On-Road Heavy-Duty Vehicles,Replacement,1,7,Y,0.0845,0.0041,0.0023,0.5915,0.0287,0.0161,7/9/19,44077,163469,Moyer,MY 20 (FY 2017-2018),163469,44364,745070,ELEC,1BABNBUA7KF367836,Blue Bird,T3RE 3904,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Bay Area AQMD,20SBP140-School-Bus-replacement,20SBP140,Liquidated,Sunnyvale School District,N,BAA-20SBP140-B-06,SB,On-Road Heavy-Duty Vehicles,Replacement,1,7,Y,0.0891,0.0044,0.0024,0.6237,0.0308,0.0168,7/9/19,44077,173469,Moyer,MY 20 (FY 2017-2018),173469,44364,745072,ELEC,1BABNBUA5KF367835,Blue Bird,T3RE 3904,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Bay Area AQMD,20SBP140-School-Bus-replacement,20SBP140,Liquidated,Sunnyvale School District,N,BAA-20SBP140-B-07,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,Y,0.0534,0.0024,0.0014,0.534,0.024,0.014,7/9/19,44077,139131,Moyer,MY 20 (FY 2017-2018),139131,44364,745074,ELEC,1BABNBUA0KF367838,Blue Bird,T3RE 3904,,HVIP - Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project
Amador County APCD,ACUSD_E-School Bus,RAP 21-1,Liquidated,Amador County Unified School District,N,Lion Electric School Bus,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,Y,0.2517,0.0311,0.0018,2.517,0.311,0.018,3/22/22,44657,379950,Moyer,MY 23 (FY 2020-2021),379950,44662,797408,BELEC,2A9CP2744MJ198044,Lion Electric,Type C,,
Bay Area AQMD,20MOY242-On-Road-replacement,20MOY242,Executed,Santa Clara Valley Transportation Authority,Y,BAA-20MOY242-1002,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0802,0.0013,0.0005,0.9624,0.0156,0.006,12/16/19,,100000,CAP,CAP 2(FY 2018-2019,100000,,710356,ELEC,,Proterra,Catalyst E2,"37.362073, -121.864887",
Bay Area AQMD,20MOY242-On-Road-replacement,20MOY242,Executed,Santa Clara Valley Transportation Authority,Y,BAA-20MOY242-1003,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0765,0.0012,0.0004,0.918,0.0144,0.0048,12/16/19,,95000,CAP,CAP 2(FY 2018-2019,95000,,710358,ELEC,,Proterra,Catalyst E2,"37.362073, -121.864887",
Bay Area AQMD,20MOY242-On-Road-replacement,20MOY242,Executed,Santa Clara Valley Transportation Authority,Y,BAA-20MOY242-1004,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0938,0.0015,0.0005,1.1256,0.018,0.006,12/16/19,,117000,CAP,CAP 2(FY 2018-2019,117000,,710362,ELEC,,Proterra,Catalyst E2,"37.362073, -121.864887",
Bay Area AQMD,20MOY242-On-Road-replacement,20MOY242,Executed,Santa Clara Valley Transportation Authority,Y,BAA-20MOY242-1005,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.1061,0.0017,0.0006,1.2732,0.0204,0.0072,12/16/19,,132000,CAP,CAP 2(FY 2018-2019,132000,,710364,ELEC,,Proterra,Catalyst E2,"37.362073, -121.864887",
Bay Area AQMD,20MOY6-On-Road-replacement,20MOY6,Executed,Alameda-Contra Costa Transit District,Y,BAA-20MOY6-1024,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0666,0.0011,0.0004,0.7992,0.0132,0.0048,9/7/18,44271,84000,CAP,CAP 2(FY 2018-2019,84000,,781376,ELEC,5FYB8FJ13KF071480,New Flyer,XE40,"37.761357, -122.204516",
Bay Area AQMD,20MOY6-On-Road-replacement,20MOY6,Executed,Alameda-Contra Costa Transit District,Y,BAA-20MOY6-1090,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0721,0.0011,0.0004,0.8652,0.0132,0.0048,9/7/18,44271,90000,CAP,CAP 2(FY 2018-2019,90000,,781386,ELEC,5FYB8FJ11KF071476,New Flyer,XE40,"37.761357, -122.204516",
Bay Area AQMD,20MOY6-On-Road-replacement,20MOY6,Executed,Alameda-Contra Costa Transit District,Y,BAA-20MOY6-1091,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0501,0.0008,0.0003,0.6012,0.0096,0.0036,9/7/18,44271,63000,CAP,CAP 2(FY 2018-2019,63000,,781380,ELEC,5FYB8FJ13KF071477,New Flyer,XE40,"37.761357, -122.204516",
Bay Area AQMD,20MOY6-On-Road-replacement,20MOY6,Executed,Alameda-Contra Costa Transit District,Y,BAA-20MOY6-1094,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0745,0.0012,0.0004,0.894,0.0144,0.0048,9/7/18,44271,92000,CAP,CAP 2(FY 2018-2019,92000,,781382,ELEC,5FYB8FJ17KF071479,New Flyer,XE40,"37.761357, -122.204516",
Bay Area AQMD,20MOY6-On-Road-replacement,20MOY6,Executed,Alameda-Contra Costa Transit District,Y,BAA-20MOY6-1096,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0416,0.0007,0.0002,0.4992,0.0084,0.0024,9/7/18,44271,50000,CAP,CAP 2(FY 2018-2019,50000,,781384,ELEC,5FYB8FJ15KF071478,New Flyer,XE40,"37.761357, -122.204516",
Bay Area AQMD,20SBP23-School-Bus-replacement,20SBP23,Executed,Sonoma Valley Unified School District,N,BAA-20SBP23-12,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0973,0.0052,0.0027,0.973,0.052,0.027,6/28/19,43574,179831,CAP,CAP 2(FY 2018-2019,179831,,774333,ELEC,1BABNBUA7LF377882,Blue Bird,T3RE 3904,"38.3147769999999, -122.494679",
Bay Area AQMD,20SBP23-School-Bus-replacement,20SBP23,Executed,Sonoma Valley Unified School District,N,BAA-20SBP23-16,SB,On-Road Heavy-Duty Vehicles,Replacement,1,7,N,0.0761,0.0057,0.003,0.5327,0.0399,0.021,6/28/19,,166720,CAP,CAP 2(FY 2018-2019,166720,,729604,ELEC,,Blue Bird,BBCV 3310,"38.3147769999999, -122.494679",
Bay Area AQMD,20SBP246-School-Bus-replacement,20SBP246,Executed,Newark Unified School District,N,BAA-20SBP246-1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0295,0.0012,0.0007,0.295,0.012,0.007,12/11/20,,51250,CAP,CAP 2(FY 2018-2019,51250,,774353,ELEC,2A9CP2114LJ198431,Lion Electric,AA3_AC,"37.535899, -122.024309",
Bay Area AQMD,20SBP246-School-Bus-replacement,20SBP246,Executed,Newark Unified School District,N,BAA-20SBP246-4,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0316,0.0016,0.0008,0.316,0.016,0.008,12/11/20,,52000,CAP,CAP 2(FY 2018-2019,52000,,774349,ELEC,2A9CP2115LJ198373,Lion Electric,AA2_AC,"37.535899, -122.024309",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1023,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4054,0.0406,0.0152,4.8648,0.4872,0.1824,6/23/20,,48700,CAP,CAP 2(FY 2018-2019,48700,,710424,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1030,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.456,0.0486,0.0177,5.472,0.5832,0.2124,6/23/20,,54100,CAP,CAP 2(FY 2018-2019,54100,,710430,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1034,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4055,0.0406,0.0152,4.866,0.4872,0.1824,6/23/20,,48700,CAP,CAP 2(FY 2018-2019,48700,,710452,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1051,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.3656,0.0347,0.0133,4.3872,0.4164,0.1596,6/23/20,,44400,CAP,CAP 2(FY 2018-2019,44400,,710462,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1052,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4275,0.044,0.0162,5.13,0.528,0.1944,6/23/20,,51100,CAP,CAP 2(FY 2018-2019,51100,,710448,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1053,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4756,0.0519,0.0187,5.7072,0.6228,0.2244,6/23/20,,56200,CAP,CAP 2(FY 2018-2019,56200,,710442,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1056,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4587,0.0491,0.0178,5.5044,0.5892,0.2136,6/23/20,,124063.78,CAP,CAP 2(FY 2018-2019,54400,,728956,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1057,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4784,0.0523,0.0188,5.7408,0.6276,0.2256,6/23/20,,56500,CAP,CAP 2(FY 2018-2019,56500,,710426,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1058,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.2788,0.023,0.0094,3.3456,0.276,0.1128,6/23/20,,34600,CAP,CAP 2(FY 2018-2019,34600,,710450,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1059,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4552,0.0485,0.0176,5.4624,0.582,0.2112,6/23/20,,54000,CAP,CAP 2(FY 2018-2019,54000,,710446,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1061,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.3629,0.0343,0.0131,4.3548,0.4116,0.1572,6/23/20,,44100,CAP,CAP 2(FY 2018-2019,44100,,710460,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1062,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.5344,0.062,0.0218,6.4128,0.744,0.2616,6/23/20,,62300,CAP,CAP 2(FY 2018-2019,62300,,710428,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1063,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.5429,0.0635,0.0222,6.5148,0.762,0.2664,6/23/20,,63200,CAP,CAP 2(FY 2018-2019,63200,,710436,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1064,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4646,0.05,0.0181,5.5752,0.6,0.2172,6/23/20,,55000,CAP,CAP 2(FY 2018-2019,55000,,710432,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
