,Source,VIN,Entity,Date Delivered,Manufacturer,Segment,Fuel Type,GVWR,Funding Total,Air District,County,DAC?,Address,Latitude,Longitude
33,Rural School Bus Pilot Project,1BABNBUAXKF369113,Calaveras Unified School District,12/30/20,Blue Bird,School bus,Electric,"26,001 - 33,000",385000.0,Calaveras County,,,"3304 Hwy 12 San Andreas, CA 95249",,
34,Rural School Bus Pilot Project,1BABNBUA8KF369112,Calaveras Unified School District,12/30/19,Blue Bird,School bus,Electric,"26,001 - 33,000",385000.0,Calaveras County,,,"3304 Hwy 12 San Andreas, CA 95249",,
35,Rural School Bus Pilot Project,2A9CP211XKJ198299,Columbia Elementary School District,6/7/19,eLion,School bus,Electric,"33,001 and up",400000.0,Shasta County,,,"10140 Old Oregon Trail Redding, CA 96003",,
36,Rural School Bus Pilot Project,1BABNBUAXJF357476,Eastern Sierra Unified School District,3/20/19,Blue Bird,School bus,Electric,"14,001 - 19,500",397812.74,Great Basin Unified,,,"231 Kingsley Street Bridgeport, CA 93517",,
37,Rural School Bus Pilot Project,2A9SP2120JJ198170,Fall River Joint Unified School District,2/7/18,eLion,School bus,Electric,"33,001 and up",400000.0,Shasta County,,,"44154 Walnut Street McArthur, CA 96056",,
38,Rural School Bus Pilot Project,1BAKGCUA1LF370068,Fall River Joint Unified School District,3/3/20,Blue Bird,School bus,Electric,"33,001 and up",382378.71,Shasta County,,,"44154 Walnut Street McArthur, CA 96056",,
39,Rural School Bus Pilot Project,1F66F5KY1J0A16723,Gateway Unified School District,4/12/19,Starcraft,School bus,Electric,"33,001 and up",397439.49,Shasta County,,,"4411 Mountain Lakes Blvd Redding, CA 96003",,
40,Rural School Bus Pilot Project,1BABNBUA1JF357477,Gateway Unified School District ,2/28/19,Blue Bird,School bus,Electric,"33,001 and up",399999.78,Shasta County,,,"4411 Mountain Lakes Blvd Redding, CA 96003",,
41,Rural School Bus Pilot Project,1BABNBUAXKF36321,Gridley Unified School District,2/4/20,Blue Bird,School bus,Electric,"26,001 - 33,000",397007.29,Butte County,,,"906 Fairview Drive Gridley, CA 95948",,
42,Rural School Bus Pilot Project,2A9SP2128JJ198272,Healdsburg Unified School District,5/18/18,eLion,School bus,Electric,"26,001 - 33,000",400000.0,Northern Sonoma,,,"13557 Healdsburg Avenue Healdsburg, CA 95448",,
43,Rural School Bus Pilot Project,1BABNBUA0KF362056,Healdsburg Unified School District,11/22/19,Blue Bird,School bus,Electric,"26,001 - 33,000",400000.0,Northern Sonoma,,,"13557 Healdsburg Avenue Healdsburg, CA 95448",,
44,Rural School Bus Pilot Project,2A9SP2124JJ198124,Konocti Unified School District,12/15/17,eLion,School bus,Electric,"33,001 and up",373922.35,Lake County,,,"2500 Old Highway 53 Clearlake, CA 95422",,
45,Rural School Bus Pilot Project,1BABNBUA4KF362058,Mckinleyville Union School District,10/10/19,Blue Bird,School bus,Electric,"33,001 and up",399820.53,North Coast Unified,,,"2275 Central Ave. Mckinleyville, CA 95519",,
46,Rural School Bus Pilot Project,2A9SP2122JJ198171,Oroville Union High School District,2/14/18,eLion,School bus,Electric,"33,001 and up",389593.03,Butte County,,,"2139 Washington Ave Oroville, CA 95966",,
47,Rural School Bus Pilot Project,2A9SP2124JJ198169,Palermo Union School District,1/12/18,eLion,School bus,Electric,"26,001 - 33,000",373995.82,Butte County,,,"7390 Bulldog Way Palermo, CA 95968",,
48,Rural School Bus Pilot Project,2A9CP2112KJ198300,Palermo Union School District,6/18/19,eLion,School bus,Electric,"26,001 - 33,000",399346.89,Butte County,,,"7390 Bulldog Way Palermo, CA 95968",,
49,Rural School Bus Pilot Project,1BABBBUAOKF363613,Pioneer Union School District,1/9/20,Blue Bird,School bus,Electric,"33,001 and up",400000.0,El Dorado County,,,"6860 Mount Aukum Road Somerset, CA 95684",,
50,Rural School Bus Pilot Project,2A9SP2123JJ198163,Plumas Unified School District,4/26/18,eLion,School bus,Electric,"26,001 - 33,000",400000.0,Northern Sierra Unified,,,"50 Church St  Quincy, CA 95971",,
51,Rural School Bus Pilot Project,2A9SP2127JJ198165,Rescue Union School District,1/11/18,eLion,School bus,Electric,"26,001 - 33,000",400000.0,El Dorado County,,,"2390 Bass Lake Road Rescue, CA 95672",,
52,Rural School Bus Pilot Project,1BABNBUA7KF362068,Rescue Union School District,9/30/19,Blue Bird,School bus,Electric,"33,001 and up",400000.0,El Dorado County,,,"2390 Bass Lake Road Rescue, CA 95672",,
53,Rural School Bus Pilot Project,2A9SP2123JJ198129,Ukiah Unified School District,3/8/18,eLion,School bus,Electric,"26,001 - 33,000",393931.45,Mendocino County,,,"511 S. Orchard Ave. Ukiah, CA 95482",,
54,Rural School Bus Pilot Project,1FDFE4FS8KDC14317,Ukiah Unified School District,5/30/19,Ford Misco Bird,School bus,Electric,"14,001 - 19,500",282974.44,Mendocino County,,,"511 S. Orchard Ave. Ukiah, CA 95482",,
55,Rural School Bus Pilot Project,1FDFE4FS8KDC30954,Ukiah Unified School District,9/30/19,Microbird/Ford,School bus,Electric,"14,001 - 19,500",282974.44,Mendocino County,,,"511 S. Orchard Ave. Ukiah, CA 95482",,
56,Rural School Bus Pilot Project,2A9SP2126JJ198125,Wilsona School District,1/16/18,eLion,School bus,Electric,"26,001 - 33,000",374087.06,Antelope Valley,,,"16757 E. Avenue M-8 Lancaster, CA 93535",,
57,Rural School Bus Pilot Project,2A9CP2127KJ198298,Black Butte Union Elementary School District,12/13/19,Lion,School bus,Electric,"26,001 - 33,000",394298.0,Shasta County AQMD,,,"7752 Ponderosa Way Shingletown, CA 96088-9652",,
58,Rural School Bus Pilot Project,1BABNBUAXKF367829,Healdsburg Unified School District,3/2/20,Blue Bird,School bus,Electric,"33,001 and up",399235.81,Northern Sonoma APCD,,,"1028 Prince Street Healdsburg, CA 95448",,
59,Rural School Bus Pilot Project,1BABNBUA3LF380116,Arcata School District,12/17/20,Blue Bird,School bus,ZEV,"33,001 and up","$407,617.43 ",North Coast Unified AQMD,,no,"2400 Baldwin Rd Arcata, CA 95521",,
60,Rural School Bus Pilot Project,1BAKFCUA3LF379390,Big Lagoon Union School District,1/26/21,Blue Bird,School bus,ZEV,"33,001 and up","$403,637.72 ",North Coast Unified AQMD,,no,"3701 Boyd Rd. Arcata, CA 95521",,
61,Rural School Bus Pilot Project,1BABNBUA6LF376870,Bishop Unified School District,8/6/20,Blue Bird,School bus,ZEV,"33,001 and up","$437,793.93 ",Great Basin Unified APCD,,No,"800 W. Elm Street Bishop, CA 93514",,
62,Rural School Bus Pilot Project,1BABNBUA3LF376874,Bishop Unified School District,10/8/20,Blue Bird,School bus,ZEV,"33,001 and up","$435,978.34 ",Great Basin Unified APCD,,no,"800 W. Elm Street Bishop, CA 93514",,
63,Rural School Bus Pilot Project,2A9CP2114LJ198512,Columbia Elementary School District,11/24/20,Lion C,School bus,ZEV,"33,001 and up","$434,236.19 ",Shasta County AQMD,,no,"10140 Old Oregon Trail Redding, CA 96003",,
64,Rural School Bus Pilot Project,2A9CP2111KJ198322,Columbia Elementary School District,6/7/19,Lion,School bus,ZEV,"33,001 and up","$424,723.11 ",Shasta County AQMD,,no,"10140 Old Oregon Trail Redding, CA 96003",,
65,Rural School Bus Pilot Project,2A9CP2111KJ198420,Colusa Unified School District,1/21/20,Lion,School bus,ZEV,"33,001 and up","$394,586.68 ",Colusa County APCD,,no,"901 Colus Ave Colusa, CA 95932",,
66,Rural School Bus Pilot Project,1BABNBUA8LF376885,Eastern Sierra Unified School District,9/30/20,Blue Bird,School bus,ZEV,"33,001 and up","$417,884.28 ",Great Basin Unified APCD,,no,"51710 Hwy 395 Lee Vining, CA 93541",,
67,Rural School Bus Pilot Project,1BABNBUA2LF380320,Evergreen Union School District,1/26/21,Blue Bird,School bus,ZEV,"26,001 - 33,000","$413,524.61 ",Tehama County APCD,,no,"19500 Learning Way Cottonwood, CA 96022",,
68,Rural School Bus Pilot Project,1BABNBUA6LF376884,Evergreen Union School District,7/23/20,Blue Bird,School bus,ZEV,"26,001 - 33,000","$411,706.89 ",Tehama County APCD,,no,"19500 Learning Way Cottonwood, CA 96022",,
69,Rural School Bus Pilot Project,1BABNBUA9KF367384,Gridley Unified School District,5/8/20,Blue Bird,School bus,ZEV,"33,001 and up","$407,086.00 ",Butte County AQMD,,no,"906 Fairview Drive Gridley, CA 95948",,
70,Rural School Bus Pilot Project,1BABNBUAOKF367385,Gridley Unified School District,5/7/20,Blue Bird,School bus,ZEV,"14,001 - 19,500","$407,086.00 ",Butte County AQMD,,no,"906 Fairview Drive Gridley, CA 95948",,
71,Rural School Bus Pilot Project,1BABNBUA0LF376881,Lassen Union High School District,1/21/21,Blue Bird,School bus,ZEV,"26,001 - 33,000","$407,893.35 ",Lassen County APCD,,no,"1324 Cornell St. Susanville, CA 96130",,
72,Rural School Bus Pilot Project,1BABLBUA7LF380741,McKinleyville Union School District,1/29/21,Blue Bird,School bus,ZEV,"33,001 and up","$411,104.64 ",North Coast Unified AQMD,,no,"2275 Central Ave McKinleyville, CA 95519",,
73,Rural School Bus Pilot Project,1BABNBUA3LF373134,Oroville Union High School District/ Oroville City Elementary School District,12/22/20,Blue Bird,School bus,ZEV,"33,001 and up","$401,613.12 ",Butte County AQMD,,No,"2139 Washington Ave Oroville, CA 95966",,
74,Rural School Bus Pilot Project,1BABNBUAXLF376872,Oroville Union High School District/ Oroville City Elementary School District,7/29/20,Blue Bird,School bus,ZEV,"33,001 and up","$406,126.74 ",Butte County AQMD,,No,"2139 Washington Ave Oroville, CA 95966",,
75,Rural School Bus Pilot Project,1BABNBUA1LF376873,Oroville Union High School District/ Oroville City Elementary School District,10/12/20,Blue Bird,School bus,ZEV,"33,001 and up","$406,126.74 ",Butte County AQMD,,No,"2139 Washington Ave Oroville, CA 95966",,
76,Rural School Bus Pilot Project,2A9CP2113LJ198498,Palermo Union School District,12/15/20,Lion Electric,School bus,ZEV,"26,001 - 33,000","$405,284.34 ",Butte County AQMD,,no,"2261 Esperanza Avenue Palermo, CA 95968",,
77,Rural School Bus Pilot Project,2ACP2111LJ198497,Palermo Union School District,5/28/20,Lion,School bus,ZEV,"26,001 - 33,000","$405,284.34 ",Butte County AQMD,,no,"2661 Esperanza Palermo, CA 95968",,
78,Rural School Bus Pilot Project,2A9CP211XLJ198496,Palermo Union School District,5/28/20,Lion,School bus,ZEV,"26,001 - 33,000","$405,284.34 ",Butte County AQMD,,no,"2261 Esperanza Avenue Palermo, CA 95968",,
79,Rural School Bus Pilot Project,1BABNBUA5LF376875,Pierce Joint Unified School District,7/30/20,Blue Bird,School bus,ZEV,"33,001 and up","$407,571.49 ",Colusa County APCD,,no,"950 Wildwood Road Arbuckle, CA 95912",,
80,Rural School Bus Pilot Project,1BABNBUA8KF367827,Pierce Joint Unified School District,2/13/20,Blue Bird,School bus,ZEV,"33,001 and up","$427,291.43 ",Colusa County APCD,,no,"950 Wildwood Road Arbuckle, CA 95912",,
81,Rural School Bus Pilot Project,1BABNBUA8KF367828,Pierce Joint Unified School District,2/17/20,Blue Bird,School bus,ZEV,"33,001 and up","$427,291.44 ",Colusa County APCD,,no,"950 Wildwood Road Arbuckle, CA 95912",,
82,Rural School Bus Pilot Project,1BABNBUA9LF373137,Red Bluff Union Elementary School District / Red Bluff Joint Union High School District,12/10/20,Blue Bird,School bus,ZEV,"33,001 and up","$438,572.70 ",Tehama County APCD,,no,"1290 Garden Ave Red Bluff, CA 96080",,
83,Rural School Bus Pilot Project,1BABNBUA2LF373139,Red Bluff Union Elementary School District / Red Bluff Joint Union High School District,12/1/20,Blue Bird,School bus,ZEV,"33,001 and up","$438,572.70 ",Tehama County APCD,,no,"1290 Garden Ave Red Bluff, CA 96080",,
84,Rural School Bus Pilot Project,1BABNBUA0LF373138,Red Bluff Union Elementary School District / Red Bluff Joint Union High School District,11/30/20,Blue Bird,School bus,ZEV,"33,001 and up","$438,572.70 ",Tehama County APCD,,no,"1290 Garden Ave Red Bluff, CA 96080",,
85,Rural School Bus Pilot Project,2A9CP2127KJ198351,Sierra-Plumas Joint Unified School District,12/2/19,Lion,School bus,ZEV,"26,001 - 33,000","$441,057.47 ",Northern Sierra Unified AQMD,,no,"700 Fourth Street Loyalton, CA 96118",,
86,Rural School Bus Pilot Project,2A9CP2125KJ198350,Sierra-Plumas Joint Unified School District,12/2/19,Lion,School bus,ZEV,"26,001 - 33,000","$441,057.47 ",Northern Sierra Unified AQMD,,no,"700 Fourth Street Loyalton, CA 96118",,
87,Rural School Bus Pilot Project,1BABNBUA1LF373133,Wilsona School District,5/20/20,Blue Bird,School bus,ZEV,"33,001 and up","$410,553.33 ",Antelope Valley AQMD,,no,"16757 E. Ave M-8 Lancaster, CA 93535",,
88,Rural School Bus Pilot Project,1BABNBUA9LF376880,Lassen Union High School District,1/13/21,Blue Bird,School bus,ZEV,"33,001 and up","$402,041.28 ",Lassen County Apcd,Lassen,no,"1000 Main St. Susanville, CA 96130",,
89,Rural School Bus Pilot Project,1BABNBUA2LF376882,Lassen Union High School District,1/22/21,Blue Bird,School bus,ZEV,"33,001 and up","$402,041.28 ",Lassen County Apcd,Lassen,no,"1000 Main St. Susanville, CA 96130",,
90,Rural School Bus Pilot Project,1BABNBUA9LF373140,Pierce Joint Unified School District,5/14/21,Blue Bird,School bus,ZEV,"33,001 and up","$402,333.62 ",Colusa County Apcd,Colusa,no,"540A 6th Street Arbuckle, CA 95912",,
91,Rural School Bus Pilot Project,1BABNBUA4LF376883,Pierce Joint Unified School District,5/25/21,Blue Bird,School bus,ZEV,"33,001 and up","$402,334.00 ",Colusa County Apcd,Colusa,no,"540A 6th Street Arbuckle, CA 95912",,
92,Rural School Bus Pilot Project,1BABNBUA8MF381862,Lassen Union High School District,9/29/21,Blue Bird,School bus,ZEV,"33,001 and up","$403,315.00 ",Lassen County Apcd,Lassen,no,"1000 Main St. Susanville, CA 96130",,
93,Rural School Bus Pilot Project,1BABNBUA3MF386371,Alpine County Unified School District,10/14/21,Blue Bird,School bus,ZEV,"33,001 and up","$399,644.00 ",Great Basin Unified Apcd,Alpine,no,"43 Hawkside Drive Markleeville, CA 96120",,
94,Rural School Bus Pilot Project,1BABNBUAXMF386027,Red Bluff Joint Union High School District,11/17/21,Blue Bird,School bus,ZEV,"33,001 and up","$404,605.70 ",Tehama County Apcd,Tehama,no,"1525 Douglass Street Red Bluff, CA 96080",,
95,Rural School Bus Pilot Project,1BABNBUA1MF386028,Red Bluff Joint Union High School District,11/18/21,Blue Bird,School bus,ZEV,"33,001 and up","$404,605.70 ",Tehama County Apcd,Tehama,no,"1525 Douglass Street Red Bluff, CA 96080",,
96,Rural School Bus Pilot Project,2A9CP2740MJ198039,Holtville Unified School District,12/15/21,Lion Electric,School bus,ZEV,"26,001 - 33,000","$396,852.65 ",Imperial County Apcd,Imperial,no,"621 E. Sixth St. Holtville, CA 92250",,
97,Rural School Bus Pilot Project,2A9CP2744MJ198092,Holtville Unified School District,12/17/21,Lion Electric,School bus,ZEV,"26,001 - 33,000","$405,000.00 ",Imperial County Apcd,Imperial,no,"621 E. Sixth Street Holtville, CA 92250",,
98,Rural School Bus Pilot Project,2A9CP2744MJ198027,Gridley Unified School District,12/24/21,Blue Bird,School bus,ZEV,"33,001 and up","$400,000.00 ",Butte County Aqmd,Butte,no,"429 Magnolia St Gridley, CA 95948",,
99,Rural School Bus Pilot Project,1FDFE4FN1NDC00046,Palermo Union School District,1/17/22,Blue Bird,School bus,ZEV,"14,001 - 19,500","$283,767.00 ",Butte County Aqmd,Butte,no,"7390 Bulldog Way Palermo, CA 95968",,
100,Rural School Bus Pilot Project,4UZAEXG48NCNK7826,Shasta Union High School District,3/22/22,Thomas Built,School bus,ZEV,"26,001 - 33,000","$404,999.38 ",Shasta County Aqmd,Shasta,no,"2200 Eureka Way Redding, CA 96001",,
101,Rural School Bus Pilot Project,1BABNBUAOMF389924,Bret Harte Union High School District,4/29/22,Blue Bird,School bus,ZEV,"33,001 and up","$402,404.81 ",,,no,"323 S. Main St. Angels Camp, CA 95221",,
102,Prop 1B,,"Durkee Drayage Co., Inc.",2017,BYD,MD Truck,ZEV,"19,501 - 26,000",,Bay Area,Contra Costa,,"3655 Collins Ave Richmond, CA 94806",,
103,CMIS,4DREBE2N4P4886716,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
104,CMIS,4DREBE2N6PB486717,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
105,CMIS,4DREBE2N8PB486718,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
106,CMIS,4DREBE2NXPB486719,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
107,CMIS,4DREBE2N6PB486720,San Diego Unified School District,6/23/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
108,CMIS,4DREBE2N8PB486721,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
109,CMIS,4DREBE2NXPB486722,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
110,CMIS,4DREBE2N1PB486723,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
111,CMIS,4DREBE2N3PB486724,San Diego Unified School District,6/24/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
112,CMIS,4DREBE2N5PB486725,San Diego Unified School District,6/8/22,International,School bus,ZEV,"26,001 - 33,000",314652.63,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
113,CMIS,1BABNBUA1MF383159,San Diego Unified School District,8/18/21,Blue Bird,School bus,ZEV,"33,001 and up",387143.71,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
114,CMIS,1BABNBUA9MF383300,San Diego Unified School District,8/12/21,Blue Bird,School bus,ZEV,"33,001 and up",387143.71,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
115,CMIS,1BABNBUA1MF383159,San Diego Unified School District,8/18/21,Blue Bird,School bus,ZEV,"33,001 and up",387143.71,San Diego County,San Diego,Yes,"4710 Cardin Street San Diego, CA 92111",,
